epoch,step,gstep,img_per_s,acc_leaf,loss_leaf,lr_enc,t
3,2100,17113,79.9,0.96484375,0.1071,1e-05,1790116342.2402923
3,2150,17163,79.9,0.9765625,0.0592,1e-05,1790116503.4967966
3,2200,17213,79.9,0.98046875,0.0489,1e-05,1790116666.7450714
3,2250,17263,79.9,0.98046875,0.071,1e-05,1790116829.547591
3,2300,17313,79.9,0.9609375,0.1266,1e-05,1790116989.3234444
3,2350,17363,79.8,0.98046875,0.0481,1e-05,1790117152.7324536
3,2400,17413,79.8,0.94140625,0.1813,1e-05,1790117315.8045745
3,2450,17463,79.7,0.95703125,0.223,1e-05,1790117483.2447574
3,2500,17513,79.7,0.94921875,0.1687,1e-05,1790117646.538715
3,2550,17563,79.7,0.96484375,0.0704,1e-05,1790117807.2848208
3,2600,17613,79.7,0.953125,0.1369,1e-05,1790117963.9920478
3,2650,17663,79.7,0.97265625,0.0856,1e-05,1790118128.6800034
3,2700,17713,79.7,0.98828125,0.0578,1e-05,1790118292.4658494
3,2750,17763,79.6,0.9765625,0.0868,1e-05,1790118459.8505018
3,2800,17813,79.6,0.9375,0.3685,1e-05,1790118623.682507
3,2850,17863,79.5,0.94921875,0.1671,1e-05,1790118791.7777584
3,2900,17913,79.5,0.98046875,0.0681,1e-05,1790118958.3175561
3,2950,17963,79.5,0.97265625,0.0862,1e-05,1790119121.967324
3,3000,18013,79.5,0.9453125,0.2448,1e-05,1790119283.8080494
3,3050,18063,79.4,0.9453125,0.2845,1e-05,1790119451.5687861
3,3100,18113,79.4,0.9765625,0.0719,1e-05,1790119617.1388311
3,3150,18163,79.3,0.98828125,0.1021,1e-05,1790119781.3050508
3,3200,18213,79.3,0.92578125,0.5199,1e-05,1790119945.899311
3,3250,18263,79.3,0.95703125,0.1595,1e-05,1790120110.9877145
3,3300,18313,79.3,0.95703125,0.1614,1e-05,1790120272.9046123
3,3350,18363,79.3,0.94140625,0.2189,1e-05,1790120435.3076336
3,3400,18413,79.3,0.9375,0.2201,1e-05,1790120595.68115
3,3450,18463,79.3,0.921875,0.3098,1e-05,1790120756.978393
3,3500,18513,79.3,0.97265625,0.0831,1e-05,1790120923.2359533
